ID,Gender,Temperature,Humidity,Age,Period,ReportedCases,LabConfirmed,ReportedDeaths,ConfirmedDeaths,OutbreakStatus
1354778,Female,21,77,32,April,171,80,34,23,Yes
1147438,Female,22,75,32,April,92,93,47,36,Yes
1640031,Female,21.5,65,32,April,115,47,52,35,Yes
1883350,Female,18,72,32,April,103,78,25,304,Yes
1424119,Female,17,76,32,May,85,59,27,35,Yes
1619297,Female,17.5,74,32,May,82,92,9,253,Yes
1660149,Female,20,73,32,April,133,47,19,227,Yes
1458769,Female,21.5,71,32,April,67,87,43,36,Yes
1201647,Female,19,68,32,June,80,95,33,24,Yes
1403912,Female,19.5,65,32,July,72,31,40,42,Yes
1943830,Male,16,66,32,August,88,86,11,58,Yes
1824483,Male,16.5,67,32,April,94,96,31,36,Yes
1848869,Male,20,69,32,October,114,101,43,70,Yes
1669231,Male,21.5,64,32,February,110,82,16,44,Yes
1683688,Male,22,63,32,March,148,58,11,179,Yes
1738587,Male,23,64,32,March,109,77,46,61,Yes
1884264,Male,21,64,32,March,106,64,25,51,Yes
1485251,Male,22,67,32,March,156,53,15,226,Yes
1536832,Male,22,57,32,March,117,39,32,164,Yes
1438701,Male,22,55,32,March,102,100,25,289,Yes
1359971,Male,22,56,32,March,92,84,8,324,Yes
1631185,Male,22,54,32,March,118,95,7,276,Yes
1061812,Male,22,53,32,March,82,55,18,165,Yes
1218879,Male,22,58,21,March,124,82,42,266,Yes
1940297,Male,22,61,21,March,44,81,46,146,Yes
1710438,Male,22,60,21,March,104,68,42,40,Yes
1139740,Male,23,61,21,April,135,91,31,14,No
1398321,Male,23,62,21,April,163,87,42,428,Yes
1975790,Male,23,63,21,April,119,50,52,16,No
1721341,Male,23,64,21,April,70,64,9,16,Yes
1121857,Male,23,65,21,April,75,89,8,541,Yes
1117458,Male,23,66,21,April,152,83,42,46,Yes
1083679,Male,23,67,21,April,149,50,8,67,Yes
1140806,Male,23,68,21,April,123,61,29,46,Yes
1110369,Male,23,68,21,April,74,87,33,469,Yes
1411676,Male,23,67,21,April,45,66,44,31,Yes
1698452,Male,23,67,21,April,152,47,44,79,Yes
1647913,Male,23,67,21,April,85,81,31,21,Yes
1103142,Male,21,67,21,April,104,77,47,70,Yes
1798712,Male,21,67,21,April,108,95,10,232,Yes
1174304,Male,21,67,21,April,118,61,56,66,Yes
1375088,Male,21,67,21,March,85,80,35,190,Yes
1446157,Male,21,67,21,March,148,69,11,48,Yes
1835203,Male,21,65,21,March,76,85,25,471,Yes
1019771,Male,21,65,21,March,104,52,41,323,Yes
1636522,Male,21,65,21,March,165,64,7,83,Yes
1887689,Male,21,65,21,March,117,95,26,159,Yes
1882185,Male,21,64,21,May,104,51,7,24,Yes
1662484,Male,21,63,21,May,73,61,35,24,Yes
1228510,Male,21,62,21,May,115,50,29,243,Yes
1380720,Male,21,65,21,June,105,66,28,230,Yes
1117370,Male,21,65,21,July,50,68,41,59,Yes
1463210,Male,21,65,24,August,108,41,34,129,Yes
1300239,Male,21,65,54,September,134,83,24,302,Yes
1900978,Male,21,65,21,October,124,49,7,34,Yes
1764496,Male,21,65,32,November,90,86,10,23,Yes
1439246,Male,21,65,31,December,121,54,23,46,Yes
1935749,Male,21,65,25,January,125,79,45,29,Yes
1285028,Male,21,65,25,February,80,85,24,29,Yes
1307013,Male,21,65,21,March,78,50,43,128,Yes
1011054,Male,21,65,21,April,67,78,30,30,Yes
1953939,Male,21,65,21,May,118,42,24,71,Yes
1995399,Male,21,65,44,June,56,87,22,479,Yes
1988885,Male,21,65,32,July,87,57,10,68,Yes
1035503,Male,21,65,60,August,100,76,22,62,Yes
1638179,Male,21,65,21,September,137,79,31,178,Yes
1968390,Male,21,65,21,October,91,48,15,170,Yes
1687914,Male,21,65,50,November,104,68,91,250,Yes
1074476,Male,21,65,26,December,79,43,17,22,Yes
1642646,Male,21,65,26,January,138,68,9,27,Yes
1521849,Male,21,65,26,February,115,40,8,250,Yes
1912150,Male,21,65,23,March,157,67,52,51,Yes
1861182,Male,21,65,26,April,118,65,33,35,Yes
1470053,Male,21,65,32,May,68,85,9,44,Yes
1056479,Male,21,65,33,June,109,73,25,95,Yes
1693341,Male,21,65,21,July,76,82,31,34,Yes
1725519,Male,21,65,26,August,77,76,42,64,Yes
1261834,Male,21,65,26,September,157,66,34,48,Yes
1302648,Male,21,65,43,October,105,61,26,60,Yes
1488702,Male,21,65,32,November,71,27,52,33,Yes
1825159,Male,21,65,24,December,69,55,26,29,Yes
1742181,Male,21,65,23,January,144,59,15,40,Yes
1430156,Male,21,65,25,February,90,58,20,27,Yes
1591258,Male,21,65,49,March,57,54,22,14,Yes
1943301,Male,21,65,32,April,88,65,46,28,Yes
1520875,Male,21,65,31,May,93,78,35,45,Yes
1872658,Male,21,65,32,June,55,50,29,193,Yes
1929520,Male,21,65,21,July,104,62,54,593,Yes
1378266,Male,21,65,21,August,84,65,43,48,Yes
1066804,Male,21,65,73,September,121,57,35,25,Yes
1465071,Male,21,65,26,October,47,66,46,63,Yes
1834452,Male,21,65,21,November,116,59,53,203,Yes
1671875,Male,21,65,24,December,97,53,43,306,Yes
1504272,Male,21,65,24,January,127,85,46,36,Yes
1374611,Male,21,65,35,February,133,83,7,665,Yes
1571107,Male,21,65,32,March,167,57,7,144,Yes
1107050,Male,21,65,32,April,114,66,75,15,Yes
1998517,Male,21,65,21,May,107,81,27,125,Yes
1489409,Male,21,65,32,June,72,83,27,195,Yes
1882910,Male,21,65,43,July,96,73,15,59,Yes
1744861,Male,21,65,21,August,151,76,13,144,Yes
1864422,Male,21,65,21,September,88,85,34,180,Yes
1487729,Male,21,65,24,October,118,87,38,25,Yes
1387053,Male,21,65,32,November,143,83,57,190,Yes
1084266,Male,21,65,37,December,78,73,50,64,Yes
1722612,Male,21,65,35,January,85,95,10,17,Yes
1991464,Male,21,65,61,February,133,82,47,349,Yes
1378379,Male,21,65,24,March,152,79,46,40,Yes
1181581,Male,21,65,23,April,67,95,10,23,Yes
1465788,Male,21,65,24,May,102,81,31,262,Yes
1135256,Male,21,65,25,June,132,60,17,18,Yes
1433868,Male,21,65,23,July,83,82,35,144,Yes
1661472,Male,21,65,35,August,100,62,37,28,Yes
1422173,Male,21,65,21,September,120,61,46,597,Yes
1621164,Male,21,65,32,October,188,63,15,16,Yes
1020675,Male,21,65,24,November,140,56,27,61,Yes
1526607,Male,21,65,33,December,134,60,44,179,Yes
1577318,Male,21,65,23,January,88,46,7,167,Yes
1890343,Male,21,65,23,February,143,79,33,31,Yes
1772954,Male,21,65,24,March,69,39,43,16,Yes
1842624,Male,21,65,21,April,144,49,15,75,Yes
1949903,Male,21,65,32,May,97,57,16,541,Yes
1485127,Male,21,65,24,June,74,43,16,17,Yes
1625258,Male,21,65,23,July,138,75,47,405,Yes
1527534,Male,21,65,25,August,85,91,43,41,Yes
1661105,Male,21,65,53,September,119,60,34,24,Yes
1518952,Male,21,65,23,October,83,94,23,243,Yes
1875118,Male,21,65,26,November,68,48,46,34,Yes
1973853,Male,21,65,23,December,82,82,35,20,Yes
1895380,Male,21,65,68,January,127,83,43,40,Yes
1167361,Male,21,65,25,February,70,40,28,46,Yes
1048974,Male,21,65,45,March,79,72,27,18,Yes
1339861,Male,21,65,35,April,102,59,9,63,Yes
1444302,Male,21,65,23,May,54,93,34,17,Yes
1404620,Male,21,65,25,June,96,47,35,46,Yes
1980886,Male,21,65,49,July,170,82,55,58,Yes
1899406,Male,21,65,26,August,89,63,55,32,Yes
1975129,Male,21,65,21,September,79,60,39,18,Yes
1140834,Male,21,65,34,October,69,28,45,159,Yes
1981122,Male,21,65,21,November,128,91,35,125,Yes
1832375,Male,21,65,32,December,70,60,22,44,Yes
1496133,Male,21,65,23,January,145,48,16,28,Yes
1830771,Male,21,65,44,February,112,79,28,44,Yes
1267347,Male,21,65,21,March,124,54,10,253,Yes
1404894,Male,21,65,29,April,128,70,29,59,Yes
1569208,Male,21,65,32,May,122,38,11,50,Yes
1864944,Male,21,65,23,June,89,88,11,51,Yes
1548594,Male,21,65,23,July,80,66,38,71,Yes
1616947,Male,21,65,26,August,107,56,27,30,Yes
1494656,Male,21,65,32,September,169,93,55,212,Yes
1926801,Male,21,65,38,October,69,97,24,145,Yes
1349212,Male,21,65,23,November,131,83,32,201,Yes
1514648,Male,21,65,32,December,121,61,46,95,Yes
1005108,Male,21,65,23,January,99,80,40,338,Yes
1331530,Male,21,65,51,February,98,70,30,216,Yes
1452020,Male,21,65,39,March,104,80,43,265,Yes
1544434,Male,21,65,21,April,169,81,54,60,Yes
1365700,Male,21,65,44,May,70,49,22,28,Yes
1379749,Male,21,65,52,June,102,98,23,213,No
1012683,Male,21,65,23,July,139,54,35,160,No
1610638,Male,21,65,50,August,116,73,22,53,No
1778203,Male,21,65,21,September,112,63,36,517,No
1090037,Male,21,65,23,October,58,58,35,373,No
1007213,Male,21,65,21,November,152,49,27,35,No
1288637,Male,21,65,44,December,112,76,39,448,No
1470572,Male,21,65,32,January,153,66,27,86,No
1624622,Male,21,65,26,February,89,71,46,233,No
1133429,Male,21,65,21,March,168,91,40,68,No
1411565,Male,21,65,45,April,173,68,50,63,No
1465768,Male,21,65,25,May,137,47,11,24,No
1950892,Male,21,65,26,June,116,46,21,179,No
1329676,Male,21,65,43,July,88,67,40,68,No
1593685,Male,21,65,39,August,176,99,29,215,No
1908696,Male,21,65,23,September,125,87,32,28,No
1732900,Male,21,65,23,October,92,41,8,38,No
1795256,Male,21,65,32,November,76,93,31,299,No
1550548,Male,21,65,23,December,109,57,46,328,No
1941690,Male,21,65,40,January,96,95,50,234,No
1591653,Male,21,65,47,February,74,66,30,45,No
1766372,Male,21,65,32,March,154,74,23,83,No
1165270,Male,21,65,30,April,75,60,44,220,No
1957253,Male,21,65,32,May,97,64,13,74,No
1825532,Male,21,65,46,June,107,89,46,253,No
1130576,Male,21,65,25,July,87,58,34,32,No
1892923,Male,21,65,26,August,71,53,42,49,No
1019999,Male,21,65,32,September,113,47,26,428,No
1272326,Male,21,65,24,October,128,88,35,31,No
1799878,Male,21,65,43,November,169,74,44,286,No
1031554,Male,21,65,21,December,109,60,24,190,No
1359630,Male,21,65,41,January,59,92,7,27,No
1689419,Male,21,65,46,February,140,84,31,331,No
1183788,Male,21,65,21,March,81,89,43,180,No
1847568,Male,21,65,31,April,174,62,13,253,No
1965517,Male,21,65,32,May,94,88,7,44,No
1722155,Male,21,65,26,June,105,87,7,141,No
1109945,Male,21,65,24,July,149,52,43,172,No
1522358,Male,21,65,32,August,74,51,38,211,No
1666327,Male,21,65,33,September,75,80,31,18,No
1532687,Male,21,65,31,October,79,87,47,194,No
1756996,Male,21,65,71,November,87,62,44,46,No
1947695,Male,21,65,23,December,157,48,45,34,No
1435934,Male,21,65,47,January,188,66,37,35,No
1211961,Male,21,65,23,February,108,79,22,165,No
1854671,Male,21,65,35,March,148,49,45,86,No
1692419,Male,21,65,26,April,93,84,33,36,No
1694003,Male,21,65,56,May,96,95,12,246,No
1753829,Male,21,65,43,June,98,93,27,56,No
1013749,Male,21,65,23,July,146,51,30,34,No
1206515,Male,21,65,32,August,97,65,15,137,Yes
1191656,Male,21,65,32,September,148,90,36,336,No
1530424,Male,21,65,23,October,92,56,12,54,No
1638778,Male,21,65,21,November,71,51,11,18,Yes
1293534,Male,21,65,23,December,138,54,31,37,No
1499024,Male,21,65,32,January,96,90,13,382,Yes
1192149,Male,21,65,56,February,116,96,42,71,Yes
1211265,Male,21,65,32,March,149,43,8,212,Yes
1515376,Male,21,65,24,April,110,67,40,126,Yes
1267118,Male,21,65,23,May,112,76,14,49,Yes
1743919,Male,21,65,21,June,53,53,9,208,Yes
1379938,Male,21,65,39,July,99,84,15,191,Yes
1578433,Male,21,65,34,August,141,94,34,650,Yes
1185589,Male,21,65,71,September,135,78,34,18,Yes
1887611,Male,21,65,32,October,87,58,34,17,Yes
1925600,Male,21,65,32,November,106,89,51,195,Yes
1941811,Male,21,65,47,December,172,79,56,25,Yes
1837777,Male,21,65,21,January,129,63,11,134,Yes
1053281,Male,21,65,25,February,113,86,44,40,Yes
1959099,Male,21,65,45,March,107,51,25,157,No
1208169,Male,21,65,24,April,152,42,51,257,Yes
1866926,Male,21,65,45,May,137,62,34,22,No
1892564,Male,21,65,47,June,68,73,55,151,Yes
1953783,Male,21,65,25,July,142,47,8,19,No
1284163,Male,21,65,47,August,168,53,27,39,No
1611584,Male,21,65,26,September,109,88,34,195,No
1682531,Male,21,65,32,October,86,60,35,35,No
1589480,Male,21,65,66,November,73,50,42,263,No
1804220,Male,21,65,23,December,73,83,10,245,No
1678780,Male,21,65,21,January,57,82,44,25,No
1360053,Male,21,65,21,February,178,64,28,195,No
1123334,Male,21,65,21,March,89,44,7,38,No
1298630,Male,21,65,25,April,107,116,32,149,No
1868265,Male,21,65,53,May,120,60,43,23,No
1230707,Male,21,65,25,June,128,84,30,37,No
1077895,Male,21,65,21,July,97,86,12,46,No
1269817,Male,21,65,23,August,94,67,46,20,No
1052085,Male,21,65,53,September,101,92,15,303,No
1802336,Male,21,65,21,October,86,88,30,176,No
1625818,Male,21,65,23,November,138,63,35,216,No
1024847,Male,21,65,32,December,78,80,25,36,No
1311948,Male,21,65,21,January,166,81,22,35,No
1637597,Male,21,65,26,February,109,56,44,26,No
1487811,Male,21,65,23,March,58,64,45,79,No
1955204,Male,21,65,21,April,67,81,33,172,No
1039417,Male,21,65,25,May,53,92,11,140,No
1725429,Male,21,65,32,June,131,86,33,156,No
1589438,Male,21,65,24,July,79,87,7,39,No
1949705,Male,21,65,21,August,109,88,21,155,No
1849067,Male,21,65,28,September,131,95,28,202,No
1198170,Male,21,65,32,October,80,68,16,55,Yes
1121649,Male,21,65,37,November,142,85,33,164,Yes
1300013,Male,21,65,71,December,78,75,18,262,Yes
1366643,Male,21,65,34,January,83,83,35,437,Yes
1303893,Male,21,65,32,February,91,45,11,26,Yes
1554264,Male,21,65,32,March,47,45,11,228,No
1627354,Male,21,65,32,April,70,50,8,187,No
1946245,Male,21,65,58,May,155,56,19,49,No
1985358,Male,21,65,33,June,183,82,49,157,No
1225802,Male,21,65,28,July,100,63,48,156,Yes
1603990,Male,21,65,32,August,122,88,31,86,Yes
1084469,Male,21,65,23,September,148,96,33,50,Yes
1133051,Male,21,65,34,October,83,94,34,336,Yes
1246610,Male,21,65,32,November,171,65,45,88,Yes
1821381,Female,21,65,32,December,94,78,43,42,Yes
1291624,Female,21,65,29,January,176,54,27,85,Yes
1673011,Female,21,65,21,February,57,65,41,38,Yes
1298658,Female,21,65,21,March,177,82,47,304,Yes
1301965,Female,21,65,56,April,91,51,22,30,Yes
1390571,Female,21,65,23,May,89,54,19,132,Yes
1151182,Female,21,65,25,June,79,43,32,36,Yes
1433040,Female,21,65,23,July,76,50,31,56,Yes
1317533,Female,21,65,23,August,116,78,9,225,Yes
1884141,Female,21,65,23,September,77,85,7,38,Yes
1308277,Female,21,65,23,October,108,67,10,305,Yes
1744013,Female,21,65,32,November,107,89,30,45,Yes
1676467,Female,21,65,32,December,89,61,35,55,Yes
1965387,Female,21,65,55,January,102,80,23,270,Yes
1179287,Female,21,65,25,February,72,68,54,217,Yes
1422188,Female,21,65,32,March,106,85,41,26,Yes
1926017,Female,21,65,23,April,77,80,56,159,Yes
1568858,Female,21,65,32,May,178,60,11,77,Yes
1978973,Female,21,65,23,June,75,66,12,273,Yes
1885878,Female,21,65,46,July,116,64,55,140,Yes
1210686,Female,21,65,21,August,122,82,42,26,Yes
1373355,Female,21,65,67,September,90,94,45,74,Yes
1571136,Female,21,65,21,October,134,99,46,205,Yes
1277035,Female,21,65,57,November,71,78,13,347,Yes
1215633,Female,21,65,28,December,105,72,20,173,Yes
1715993,Female,21,65,26,January,73,82,34,126,Yes
1606595,Female,21,65,21,February,88,91,34,181,Yes
1545382,Female,21,65,21,March,125,51,12,51,Yes
1611589,Female,21,65,33,April,142,61,26,426,Yes
1379901,Female,21,65,23,May,88,87,42,43,Yes
1432670,Female,21,65,21,June,116,69,13,56,Yes
1674786,Female,21,65,23,July,114,95,31,39,Yes
1396169,Female,21,65,23,August,90,86,43,203,Yes
1286425,Female,21,65,24,September,120,69,11,178,Yes
1544165,Female,21,65,21,October,95,86,9,29,Yes
1725671,Female,21,65,45,November,62,89,51,17,Yes
1241261,Female,21,65,32,December,147,83,17,363,Yes
1135885,Female,21,65,32,January,123,78,31,395,Yes
1056070,Female,21,65,21,February,156,41,8,36,Yes
1450494,Female,21,65,29,March,117,48,36,65,Yes
1161773,Female,21,65,23,April,83,80,41,15,Yes
1469059,Female,21,65,24,May,105,78,34,44,Yes
1871053,Female,21,65,59,June,134,92,28,92,Yes
1822381,Female,21,65,50,July,114,88,7,47,Yes
1243841,Female,21,65,21,August,120,95,11,147,Yes
1084467,Female,21,65,25,September,100,63,32,423,Yes
1736681,Female,21,65,43,October,111,110,33,186,Yes
1087883,Female,21,65,23,November,104,83,43,44,Yes
1265052,Female,21,65,32,December,155,53,31,164,Yes
1391420,Female,21,65,24,January,131,84,46,158,Yes
1195787,Female,21,65,24,February,170,80,41,240,Yes
1435471,Female,21,65,25,March,74,80,31,73,Yes
1352538,Female,21,65,21,April,102,73,35,63,Yes
1071699,Female,21,65,23,May,171,84,33,134,Yes
1887945,Female,21,65,45,June,140,61,50,219,Yes
1335158,Female,21,65,21,July,125,97,9,196,Yes
1888991,Female,21,65,21,August,136,80,34,19,Yes
1269598,Female,21,65,26,September,83,87,35,256,Yes
1921590,Female,21,65,23,October,51,92,11,174,Yes
1150428,Female,21,65,43,November,103,71,50,79,Yes
1010813,Female,21,65,44,December,83,63,25,76,Yes
1676497,Female,21,65,23,January,94,41,18,24,Yes
1347966,Female,21,65,43,February,63,61,41,62,Yes
1780601,Female,21,65,32,March,115,86,8,215,Yes
1785180,Female,21,65,56,April,110,70,38,339,Yes
1909635,Female,21,65,32,May,76,86,33,22,Yes
1470819,Female,21,65,59,June,108,61,8,31,Yes
1443900,Female,21,65,66,July,123,87,9,36,Yes
1340386,Female,21,65,21,August,77,48,23,195,Yes
1155450,Female,21,65,35,September,79,57,34,160,Yes
1828251,Female,21,65,21,October,98,54,50,27,Yes
1905960,Female,21,65,25,November,102,54,34,22,Yes
1762892,Female,21,65,58,December,95,53,55,38,Yes
1740252,Female,21,65,23,January,102,56,10,163,Yes
1592283,Female,21,65,43,February,98,67,32,58,Yes
1848708,Female,21,65,43,March,104,80,23,56,Yes
1895679,Female,21,65,35,April,117,48,23,27,Yes
1419366,Female,21,65,32,May,73,83,41,71,Yes
1262972,Female,21,65,38,June,165,96,46,18,Yes
1749173,Female,21,65,25,July,69,81,42,17,Yes
1554089,Female,21,65,67,August,85,88,10,141,Yes
1521530,Female,21,65,51,September,89,82,45,26,Yes
1150626,Female,21,65,21,October,69,78,9,26,Yes
1715433,Female,21,65,23,November,71,85,35,25,Yes
1515847,Female,21,65,68,December,150,111,38,39,Yes
1235529,Female,21,65,32,January,140,42,43,140,Yes
1351353,Female,21,65,32,February,136,62,33,47,Yes
1350287,Female,21,65,23,March,98,81,34,40,Yes
1394735,Female,21,65,44,April,91,48,22,16,Yes
1095246,Female,21,65,21,May,151,41,43,23,Yes
1649407,Female,21,65,32,June,96,61,27,153,Yes
1640404,Female,21,65,53,July,116,81,7,39,Yes
1138183,Female,21,65,24,August,78,55,31,20,Yes
1096085,Female,21,65,21,September,153,51,33,161,Yes
1632698,Female,21,65,21,October,65,59,47,59,Yes
1296366,Female,21,65,23,November,129,60,11,31,Yes
1856501,Female,21,65,26,December,72,54,15,173,Yes
1571308,Female,21,65,32,January,124,84,18,49,Yes
1256543,Female,21,65,44,February,87,95,13,20,Yes
1206993,Female,21,65,32,March,101,70,43,396,Yes
1214282,Female,21,65,47,April,97,78,51,256,Yes
1731223,Female,21,65,23,May,105,75,45,58,Yes
1192134,Female,21,65,34,June,93,49,10,48,Yes
1406565,Female,21,65,44,July,44,62,22,57,No
1524829,Female,21,65,32,August,134,64,44,43,No
1503547,Female,21,65,32,September,141,56,31,152,No
1355436,Female,21,65,23,October,102,60,31,26,No
1445102,Female,21,65,21,November,175,66,27,180,No
1779962,Female,21,65,32,December,84,89,43,199,No
1227040,Female,21,65,25,January,118,86,17,27,No
1015637,Female,21,65,26,February,127,52,23,341,No
1441609,Female,21,65,32,March,52,81,18,22,No
1390631,Female,21,65,21,April,139,97,46,593,No
1451589,Female,21,65,26,May,93,86,31,247,No
1751652,Female,21,65,32,June,151,70,23,43,No
1229983,Female,21,65,32,July,54,89,46,154,No
1189265,Female,21,65,21,August,155,95,10,29,No
1497987,Female,21,65,32,September,103,53,30,17,No
1293208,Female,21,65,32,October,151,96,23,43,No
1549299,Female,21,65,21,November,109,76,34,186,No
1007535,Female,21,65,21,December,95,55,33,184,No
1457484,Female,21,65,21,January,123,52,7,181,No
1519780,Female,21,65,23,February,115,89,34,53,No
1770898,Female,21,65,55,March,135,87,38,233,No
1163792,Female,21,65,21,April,97,63,34,14,No
1857593,Female,21,65,26,May,163,95,10,43,No
1779457,Female,21,65,31,June,157,53,11,262,No
1868062,Female,21,65,40,July,146,48,34,36,No
1909401,Female,21,65,32,August,57,80,10,23,No
1755468,Female,21,65,23,September,85,62,31,15,No
1528877,Female,21,65,32,October,87,58,11,154,No
1545559,Female,21,65,26,November,125,94,42,189,No
1689538,Female,21,65,23,December,94,67,9,258,No
1375869,Female,21,65,25,January,92,82,41,36,No
1172899,Female,21,65,45,February,63,46,22,87,No
1814191,Female,21,65,32,March,126,49,31,16,No
1492707,Female,21,65,67,April,98,86,19,15,No
1728931,Female,21,65,61,May,115,84,86,75,No
1919418,Female,21,65,32,June,171,49,47,385,No
1589042,Female,21,65,32,July,46,69,13,287,No
1147185,Female,21,65,21,August,72,80,45,157,No
1366655,Female,21,65,43,September,66,76,29,262,No
1844494,Female,21,65,38,October,115,83,10,24,No
1288445,Female,21,65,23,November,110,66,56,207,No
1592683,Female,21,65,21,December,162,54,15,197,No
1426507,Female,21,65,32,January,102,78,33,167,No
1664118,Female,21,65,26,February,90,53,9,44,No
1766218,Female,21,65,32,March,107,52,45,62,No
1926790,Female,21,65,56,April,147,96,28,70,No
1281174,Female,21,65,21,May,168,75,7,46,No
1357487,Female,21,65,26,June,83,48,53,141,No
1179267,Female,21,65,32,July,57,66,7,40,No
1737788,Female,21,65,37,August,118,59,49,155,No
1750692,Female,21,65,35,September,142,78,11,209,No
1447270,Female,21,65,23,October,49,78,14,77,No
1843647,Female,21,65,32,November,155,64,34,46,No
1198753,Female,21,65,24,December,112,90,36,23,No
1597059,Female,21,65,45,January,103,32,15,50,No
1590423,Female,21,65,46,February,88,83,8,23,No
1944015,Female,21,65,21,March,103,73,28,162,No
1641099,Female,21,65,21,April,83,67,46,213,No
1113419,Female,21,65,24,May,80,65,8,23,No
1119325,Female,21,65,25,June,113,61,10,252,No
1215163,Female,21,65,36,July,57,82,7,21,No
1145610,Female,21,65,21,August,46,76,49,89,No
1958238,Female,21,65,32,September,143,84,35,157,No
1491557,Female,21,65,34,October,70,61,18,128,No
1636780,Female,21,65,21,November,136,90,45,139,No
1208170,Female,21,65,21,December,96,78,17,48,No
1859953,Female,21,65,31,January,99,39,24,135,No
1084731,Female,21,65,53,February,87,42,22,36,No
1883312,Female,21,65,25,March,96,94,32,43,No
1901034,Female,21,65,25,April,138,92,19,53,No
1391625,Female,21,65,43,May,98,69,13,787,No
1877717,Female,21,65,26,June,122,79,25,304,No
1671685,Female,24,65,23,July,69,50,44,15,No
1146865,Female,24,65,44,August,140,70,35,58,No
1757195,Female,24,65,47,September,137,78,34,227,No
1353233,Female,24,65,23,October,143,69,42,237,No
1210930,Female,24,65,32,November,112,63,18,31,No
1410621,Female,24,65,32,December,98,84,33,17,No
1455760,Female,24,65,24,January,160,50,45,128,No
1818259,Female,24,65,23,February,82,54,10,27,No
1717871,Female,24,65,54,March,108,99,9,548,No
1700187,Female,24,65,23,April,119,51,35,252,No
1436374,Female,24,65,34,May,100,79,10,34,No
1326154,Female,24,65,34,June,55,86,14,203,No
1588424,Female,24,65,26,July,120,52,25,383,No
1360034,Female,24,65,34,August,99,51,10,61,No
1368778,Female,24,65,21,September,104,67,15,162,No
1611718,Female,24,65,23,October,106,62,8,58,No
1917192,Female,24,65,32,November,107,89,48,172,No
1250891,Female,24,65,55,December,85,68,32,50,No
1932985,Female,24,65,26,January,109,56,43,390,No
1846628,Female,24,65,21,February,119,64,7,79,No
1257582,Female,24,65,23,March,98,88,23,49,No
1692020,Female,24,65,25,April,147,59,42,14,No
1185448,Female,24,65,46,May,106,60,40,235,No
1203182,Female,24,65,25,June,97,82,24,80,No
1141536,Female,24,65,21,July,72,25,12,200,No
1939204,Female,24,65,53,August,180,95,7,28,No
1325450,Female,24,65,24,September,148,52,40,49,No
1295766,Female,24,65,31,October,101,55,24,256,No
1601419,Female,24,65,21,November,134,79,45,168,No
1623791,Female,24,65,26,December,102,55,56,32,No
1289418,Female,24,65,47,January,118,61,29,283,No
1038123,Female,24,65,26,February,139,91,35,268,No
1234684,Female,24,65,25,March,67,70,19,130,No
1108922,Female,24,65,21,April,144,85,9,174,No
1047154,Female,24,65,47,May,86,59,30,16,No
1899699,Female,24,65,73,June,73,43,37,39,No
1149892,Female,24,65,23,July,126,52,43,35,No
1671533,Female,24,65,21,August,120,93,31,31,No
1223139,Female,24,65,21,September,134,96,34,224,No
1374221,Female,24,65,44,October,98,79,47,83,No
1628634,Female,24,65,24,November,71,83,24,158,No
1165968,Female,24,65,21,December,114,79,45,601,No
1301437,Female,24,65,26,January,145,88,24,225,No
1876066,Female,24,65,21,February,52,71,10,68,No
1255765,Female,24,65,32,March,75,56,8,49,No
1893605,Female,24,65,30,April,90,86,33,15,No
1907493,Female,24,65,42,May,93,81,86,154,No
1042498,Female,24,65,30,June,81,95,44,195,No
1997020,Female,24,65,21,July,105,62,23,93,No
1644859,Female,24,65,23,August,153,62,11,257,No
1993379,Female,24,65,23,September,111,47,12,136,No
1438583,Female,24,65,23,October,100,82,9,42,No
1395080,Female,24,65,23,November,150,95,9,178,No
1642842,Female,24,65,32,December,122,74,42,483,No
1913288,Female,24,65,32,January,121,82,15,38,No
1037639,Female,24,65,32,February,52,83,10,19,No
1716677,Female,24,65,23,March,118,59,34,29,No
1041743,Female,24,65,26,April,163,49,19,182,No
1417335,Female,24,65,25,May,125,81,34,160,No
1687484,Female,24,65,32,June,170,56,11,21,No
1502298,Female,24,65,44,July,96,71,20,90,No
1676164,Female,24,65,32,August,152,57,21,180,No
1167772,Female,24,65,25,September,111,58,43,39,No
1170397,Female,24,65,32,October,94,52,51,18,No
1500407,Female,24,65,32,November,157,62,11,43,No
1578222,Female,24,65,45,December,138,92,41,147,No
